"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"1205","2020/11/05 7:03:36 PM GMT-3","10","Filosofia","Campina Grande","Sim","Todas","Razoável","Não mudou","Igual","Não sei/Não quero responder","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Boa","Ruim"
"1206","2020/11/05 7:10:10 PM GMT-3","7","Filosofia","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"1207","2020/11/05 7:14:13 PM GMT-3","8","Filosofia","Campina Grande","Sim","Algumas","Razoável","Não mudou","Igual","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Regular","Péssimo"
"1498","2020/11/06 2:42:43 PM GMT-3","8","Filosofia","Campina Grande","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Bom","Menos exigentes","Menor","Não","Boa","Excelente"
"1520","2020/11/06 7:40:56 PM GMT-3","1","Filosofia","Campina Grande","Não sei/Não quero responder","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"1523","2020/11/06 8:15:53 PM GMT-3","1","Filosofia","Campina Grande","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Não sei/Não quero responder"
"1525","2020/11/06 9:08:31 PM GMT-3","5","Filosofia","Campina Grande","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Tão exigentes quanto","Igual","Não","Ruim","Regular"
"1538","2020/11/07 7:49:03 AM GMT-3","1","Filosofia","Campina Grande","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"1554","2020/11/07 3:13:35 PM GMT-3","5","Filosofia","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Excelente","Mais exigentes","Muito maior","Sim","Excelente","Bom"
